"section","official_title","source_url","source_hash","affected_ids","named_candidates","legal_questions","technical_blockers","decision","exact_subdivisions","reviewer_note"
"1315.55","Additional prohibited activities","https://codes.ohio.gov/ohio-revised-code/section-1315.55","1222baefa4edbb4dd421b6894e37a2303581719ac7c28b795ba7864a49c14853","oh-money-laundering","","Resolve oh-money-laundering: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 1315.53. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"1533.08","Scientific, educational or rehabilitation collection permits","https://codes.ohio.gov/ohio-revised-code/section-1533.08","79d06d3c1b18e1e52f415f729c0e4a9e5c23389abfcde71002fa0d42f97a1ae9","oh-hunting-fishing-no-license","","Resolve oh-hunting-fishing-no-license: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 1533.15. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"1533.12","Hunting, fishing or trapping without a license or permit","https://codes.ohio.gov/ohio-revised-code/section-1533.12","52ff7d9f444849a50cb685a58343af62ef8c8245c17d492dfd4ad77ed0ed8bb6","oh-hunting-fishing-no-license","","Resolve oh-hunting-fishing-no-license: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 1533.11, 1531.10, 4503.41, 1533.32, 1531.08. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","Selected reference 955.021 needs source acquisition","","",""
"2.06","","","","oh-aiding-and-abetting","","","Primary official text unavailable","","",""
"2.07","","","","oh-accessory-after-the-fact","","","Primary official text unavailable","","",""
"2151.022","Unruly child defined","https://codes.ohio.gov/ohio-revised-code/section-2151.022","fd6a3f20dc7f9490ba0d72495b66afd8a5a0821e64b462d2f3bcf5d420218387","oh-curfew-violation","","Resolve oh-curfew-violation: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2907.39, 2923.211, 2925.55, 2151.87, 1.52. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"2152.02","Delinquent children - juvenile traffic offender definitions","https://codes.ohio.gov/ohio-revised-code/section-2152.02","04f134d9e384af38ef39949041be468edb2b28f812f5b8e991c61d1b0862bb8f","oh-juvenile-delinquency-felony; oh-juvenile-delinquency-misdemeanor","","Resolve oh-juvenile-delinquency-felony, oh-juvenile-delinquency-misdemeanor: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2152.26, 2919.27, 2151.34, 3113.31, 2151.87, 2907.39, 2923.211, 2925.55, 2152.16, 2152.17, 2152.19, 2152.20, 2152.03, 2903.01, 2903.02, 2923.02, 2903.03, 2905.01, 2907.02, 2909.02, 2911.01, 2911.11, 2903.04, 2907.12. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","Selected reference 5122.01 needs source acquisition
Selected reference 5123.01 needs source acquisition
Selected reference 5139.01 needs source acquisition","","",""
"2152.12","Transfer of cases","https://codes.ohio.gov/ohio-revised-code/section-2152.12","9ca23c5963993e93bd7abc2f5e8f9dc64f6705f239035e012895ce7d158dca01","oh-juvenile-transfer-adult-court","","Resolve oh-juvenile-transfer-adult-court: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 2152.10, 2152.02, 2923.12, 2152.022, 2151.23. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"2705.02","Acts in contempt of court","https://codes.ohio.gov/ohio-revised-code/section-2705.02","85cf00114ba2d2ea4faaebba39902f29904650b89e50aaa97aa66ae16d525180","oh-contempt-of-court","","Resolve oh-contempt-of-court: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.
Determine which additional textual references affect this charge's claims: 3109.19, 3111.81, 5101.37, 3111.41. These are leads, not automatically required dependencies; record include/exclude decisions in the reference ledger.","","","",""
"2903.01","Aggravated murder","https://codes.ohio.gov/ohio-revised-code/section-2903.01","98a8094c5635e8b7619106d4f1fc6a0d7774afee7cd9ea9dffe506d5bf8d38eb","oh-murder-in-the-first-degree; oh-orc-2903-01-aggravated-murder","aggravated murder","Resolve oh-murder-in-the-first-degree: retain a distinct supported scope, correct the citation, split, map to a source-first record, hold, or remove. A shared section or a similar name is not proof of equivalence.
Confirm the proposed charge's precise conduct scope, applicable exceptions, grading and incorporated definitions against the supplied full text before publication.","","","",""
