sectionId,exactTitle,disposition,decisionBasis,legalQuestion,evidenceSourceHash,sourceUrl,effectiveDate,titleEvidence,operativeEvidence,guiltEvidence,gradingEvidence,structuralAlternativeOrSubdivisionReferences,sentencingCrossReferences
"2903.01","Aggravated murder","offense_candidate","An operative prohibition and section-level guilt statement appear in the official text; the stated punishment is cross-referenced to R.C. 2929.02.","","3cb91ef5b68bb598e5892cca22005f824b332612a9fb7c98cc99bccf727f6c5e","https://codes.ohio.gov/ohio-revised-code/section-2903.01","2019-03-20","Section 2903.01 | Aggravated murder.","(A) No person shall purposely, and with prior calculation and design, cause the death of another or the unlawful termination of another's pregnancy.","(G) Whoever violates this section is guilty of aggravated murder, and shall be punished as provided in section 2929.02 of the Revised Code.","(G) Whoever violates this section is guilty of aggravated murder, and shall be punished as provided in section 2929.02 of the Revised Code.","","R.C. 2929.02"
"2903.02","Murder","offense_candidate","An operative prohibition and section-level guilt statement appear in the official text; the stated punishment is cross-referenced to R.C. 2929.02.","","2f7644b0d621de04b47839e3e1422e153e12f02345234ffdf08ffb6ef5026d44","https://codes.ohio.gov/ohio-revised-code/section-2903.02","1998-06-30","Section 2903.02 | Murder.","(A) No person shall purposely cause the death of another or the unlawful termination of another's pregnancy.","(D) Whoever violates this section is guilty of murder, and shall be punished as provided in section 2929.02 of the Revised Code.","(D) Whoever violates this section is guilty of murder, and shall be punished as provided in section 2929.02 of the Revised Code.","(C) Division (B) of this section does not apply to an offense that becomes a felony of the first or second degree only if the offender previously has been convicted of that offense or another specified offense.","R.C. 2929.02"
"2903.03","Voluntary manslaughter","offense_candidate","The official text contains a conduct prohibition and expressly calls a violation voluntary manslaughter, a felony of the first degree.","","9a7b0826d368fe364e75fe9fa57fd3bb324c41e93f42731def486db7489e98cf","https://codes.ohio.gov/ohio-revised-code/section-2903.03","2013-03-22","Section 2903.03 | Voluntary manslaughter.","(A) No person, while under the influence of sudden passion or in a sudden fit of rage, either of which is brought on by serious provocation occasioned by the victim that is reasonably sufficient to incite the person into using deadly force, shall knowingly cause the death of another or the unlawful termination of another's pregnancy.","(C) Whoever violates this section is guilty of voluntary manslaughter, a felony of the first degree.","(C) Whoever violates this section is guilty of voluntary manslaughter, a felony of the first degree.","",""
"2903.04","Involuntary manslaughter","offense_candidate","The official text contains operative prohibitions and expressly grades violations of divisions (A) and (B).","","73275f6642f5cfd9ba70481ef972ca800719b8c264bb6a087d1b310b918a538e","https://codes.ohio.gov/ohio-revised-code/section-2903.04","2004-01-01","Section 2903.04 | Involuntary manslaughter.","(A) No person shall cause the death of another or the unlawful termination of another's pregnancy as a proximate result of the offender's committing or attempting to commit a felony.","(C) Whoever violates this section is guilty of involuntary manslaughter. Violation of division (A) of this section is a felony of the first degree. Violation of division (B) of this section is a felony of the third degree.","(C) Whoever violates this section is guilty of involuntary manslaughter. Violation of division (A) of this section is a felony of the first degree. Violation of division (B) of this section is a felony of the third degree.","(D) If an offender is convicted of or pleads guilty to a violation of division (A) or (B) of this section and if the felony, misdemeanor, or regulatory offense that the offender committed or attempted to commit, that proximately resulted in the death of the other person or the unlawful termination of another's pregnancy, and that is the basis of the offender's violation of division (A) or (B) of this section was a violation of division (A) or (B) of section 4511.19 of the Revised Code or of a substantially equivalent municipal ordinance or included, as an element of that felony, misdemeanor, or regulatory offense, the offender's operation or participation in the operation of a snowmobile, locomotive, watercraft, or aircraft while the offender was under the influence of alcohol, a drug of abuse, or alcohol and a drug of abuse, both of the following apply: | (1) The court shall impose a class one suspension of the offender's driver's or commercial driver's license or permit or nonresident operating privilege as specified in division (A)(1) of section 4510.02 of the Revised Code. | (2) The court shall impose a mandatory prison term for the violation of division (A) or (B) of this section from the range of prison terms authorized for the level of the offense under section 2929.14 of the Revised Code.","R.C. 2929.14"
"2903.05","Negligent homicide","offense_candidate","The official text contains an operative prohibition and expressly calls a violation negligent homicide with a degree.","","5df14364b0e49f3d4af23a6f9815779fb50695ca54d6c439af2a4c26035b6905","https://codes.ohio.gov/ohio-revised-code/section-2903.05","1996-09-06","Section 2903.05 | Negligent homicide.","(A) No person shall negligently cause the death of another or the unlawful termination of another's pregnancy by means of a deadly weapon or dangerous ordnance as defined in section 2923.11 of the Revised Code.","(B) Whoever violates this section is guilty of negligent homicide, a misdemeanor of the first degree.","(B) Whoever violates this section is guilty of negligent homicide, a misdemeanor of the first degree.","",""
"2903.06","Aggravated vehicular homicide - vehicular homicide - vehicular manslaughter","needs_legal_interpretation","Divisions (B), (C), and (D) explicitly name aggravated vehicular homicide, vehicular homicide, and vehicular manslaughter. Their conduct groups have been extracted; conditional grades and sentencing dependencies remain unresolved for publication.","Within the three expressly named groups, which conduct and grading conditions need distinct selectable variants, and which mandatory-term and license-suspension dependencies apply to each? Validate the special sentencing references before activation; no name-transcription review is needed.","1a341a6b549ac2caa86dbd3d2e2833a8d8db9d2b55d65436d2c94453a9c52ead","https://codes.ohio.gov/ohio-revised-code/section-2903.06","2025-04-09","Section 2903.06 | Aggravated vehicular homicide - vehicular homicide - vehicular manslaughter.","(A) No person, while operating or participating in the operation of a motor vehicle, motorcycle, utility vehicle, mini-truck, snowmobile, locomotive, watercraft, or aircraft, shall cause the death of another or the unlawful termination of another's pregnancy in any of the following ways:","(B)(1) Whoever violates division (A)(1) or (2) of this section is guilty of aggravated vehicular homicide and shall be punished as provided in divisions (B)(2) and (3) of this section.","(B)(1) Whoever violates division (A)(1) or (2) of this section is guilty of aggravated vehicular homicide and shall be punished as provided in divisions (B)(2) and (3) of this section.","(b) As the proximate result of committing, while operating or participating in the operation of a motor vehicle, utility vehicle, mini-truck, or motorcycle in a construction zone, a reckless operation offense, provided that this division applies only if the person whose death is caused or whose pregnancy is unlawfully terminated is in the construction zone at the time of the offender's commission of the reckless operation offense in the construction zone and does not apply as described in division (F) of this section. | (b) As the proximate result of committing, while operating or participating in the operation of a motor vehicle, utility vehicle, mini-truck, or motorcycle in a construction zone, a speeding offense, provided that this division applies only if the person whose death is caused or whose pregnancy is unlawfully terminated is in the construction zone at the time of the offender's commission of the speeding offense in the construction zone and does not apply as described in division (F) of this section. | (B)(1) Whoever violates division (A)(1) or (2) of this section is guilty of aggravated vehicular homicide and shall be punished as provided in divisions (B)(2) and (3) of this section. | (2)(a) Except as otherwise provided in division (B)(2)(b), (c), or (d) of this section, aggravated vehicular homicide committed in violation of division (A)(1) of this section is a felony of the second degree and the court shall impose a mandatory prison term on the offender as described in division (E) of this section. | (b) Except as otherwise provided in division (B)(2)(c) or (d) of this section, aggravated vehicular homicide committed in violation of division (A)(1) of this section is a felony of the first degree, and the court shall impose a mandatory prison term on the offender as described in division (E) of this section, if any of the following apply: | (iii) The offender previously has been convicted of or pleaded guilty to two prior violations of any combination of the offenses listed in division (B)(2)(c)(i) and (ii) of this section within the previous twenty years. | (iii) The offender previously has been convicted of or pleaded guilty to three or more prior violations of any combination of the offenses listed in divisions (B)(2)(d)(i) and (ii) of this section within the previous twenty years. | (e) In addition to any other sanctions imposed pursuant to division (B)(2)(a), (b), (c), or (d) of this section for aggravated vehicular homicide committed in violation of division (A)(1) of this section, the court shall impose upon the offender a class one suspension of the offender's driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege as specified in division (A)(1) of section 4510.02 of the Revised Code. | (3) Except as otherwise provided in this division, aggravated vehicular homicide committed in violation of division (A)(2) of this section is a felony of the third degree. Aggravated vehicular homicide committed in violation of division (A)(2) of this section is a felony of the second degree if, at the time of the offense, the offender was driving under a suspension or cancellation imposed under Chapter 4510. or any other provision of the Revised Code or was operating a motor vehicle or motorcycle, did not have a valid driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege, and was not eligible for renewal of the offender's driver's license or commercial driver's license without examination under section 4507.10 of the Revised Code or if the offender previously has been convicted of or pleaded guilty to a violation of this section or any traffic-related homicide, manslaughter, or assault offense. The court shall impose a mandatory prison term on the offender when required by division (E) of this section. | In addition to any other sanctions imposed pursuant to this division for a violation of division (A)(2) of this section, the court shall impose upon the offender a class two suspension of the offender's driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege from the range specified in division (A)(2) of section 4510.02 of the Revised Code or, if the offender previously has been convicted of or pleaded guilty to a traffic-related murder, felonious assault, or attempted murder offense, a class one suspension of the offender's driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege as specified in division (A)(1) of that section. | (C) Whoever violates division (A)(3) of this section is guilty of vehicular homicide. Except as otherwise provided in this division, vehicular homicide is a misdemeanor of the first degree. Vehicular homicide committed in violation of division (A)(3) of this section is a felony of the fourth degree if, at the time of the offense, the offender was driving under a suspension or cancellation imposed under Chapter 4510. or any other provision of the Revised Code or was operating a motor vehicle or motorcycle, did not have a valid driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege, and was not eligible for renewal of the offender's driver's license or commercial driver's license without examination under section 4507.10 of the Revised Code or if the offender previously has been convicted of or pleaded guilty to a violation of this section or any traffic-related homicide, manslaughter, or assault offense. The court shall impose a mandatory jail term or a mandatory prison term on the offender when required by division (E) of this section. | In addition to any other sanctions imposed pursuant to this division, the court shall impose upon the offender a class four suspension of the offender's driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege from the range specified in division (A)(4) of section 4510.02 of the Revised Code, or, if the offender previously has been convicted of or pleaded guilty to a violation of this section or any traffic-related homicide, manslaughter, or assault offense, a class three suspension of the offender's driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege from the range specified in division (A)(3) of that section, or, if the offender previously has been convicted of or pleaded guilty to a traffic-related murder, felonious assault, or attempted murder offense, a class two suspension of the offender's driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege as specified in division (A)(2) of that section. | (D) Whoever violates division (A)(4) of this section is guilty of vehicular manslaughter. Except as otherwise provided in this division, vehicular manslaughter is a misdemeanor of the second degree. Vehicular manslaughter is a misdemeanor of the first degree if, at the time of the offense, the offender was driving under a suspension or cancellation imposed under Chapter 4510. or any other provision of the Revised Code or was operating a motor vehicle or motorcycle, did not have a valid driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege, and was not eligible for renewal of the offender's driver's license or commercial driver's license without examination under section 4507.10 of the Revised Code or if the offender previously has been convicted of or pleaded guilty to a violation of this section or any traffic-related homicide, manslaughter, or assault offense. | In addition to any other sanctions imposed pursuant to this division, the court shall impose upon the offender a class six suspension of the offender's driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege from the range specified in division (A)(6) of section 4510.02 of the Revised Code or, if the offender previously has been convicted of or pleaded guilty to a violation of this section, any traffic-related homicide, manslaughter, or assault offense, or a traffic-related murder, felonious assault, or attempted murder offense, a class four suspension of the offender's driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege from the range specified in division (A)(4) of that section. | (E)(1) The court shall impose a mandatory prison term on an offender who is convicted of or pleads guilty to a violation of division (A)(1) of this section. Except as otherwise provided in this division, the mandatory prison term shall be a definite term from the range of prison terms provided in division (A)(1)(b) of section 2929.14 of the Revised Code for a felony of the first degree or from division (A)(2)(b) of that section for a felony of the second degree, whichever is applicable, except that if the violation is committed on or after March 22, 2019, the court shall impose as the minimum prison term for the offense a mandatory prison term that is one of the minimum terms prescribed for a felony of the first degree in division (A)(1)(a) of section 2929.14 of the Revised Code or one of the terms prescribed for a felony of the second degree in division (A)(2)(a) of that section, whichever is applicable. If division (B)(2)(c) or (d) of this section applies to an offender who is convicted of or pleads guilty to the violation of division (A)(1) of this section, the court shall impose the mandatory prison term pursuant to division (A) or (B) of section 2929.142 of the Revised Code, as applicable. The court shall impose a mandatory jail term of at least fifteen days on an offender who is convicted of or pleads guilty to a misdemeanor violation of division (A)(3)(b) of this section and may impose upon the offender a longer jail term as authorized pursuant to section 2929.24 of the Revised Code. | (2) The court shall impose a mandatory prison term on an offender who is convicted of or pleads guilty to a violation of division (A)(2) or (3)(a) of this section or a felony violation of division (A)(3)(b) of this section if either division (E)(2)(a) or (b) of this section applies. The mandatory prison term shall be a definite term from the range of prison terms provided in division (A)(3)(a) of section 2929.14 of the Revised Code for a felony of the third degree or from division (A)(4) of that section for a felony of the fourth degree, whichever is applicable. The court shall impose a mandatory prison term on an offender in a category described in this division if either of the following applies: | (F) Divisions (A)(2)(b) and (3)(b) of this section do not apply in a particular construction zone unless signs of the type described in section 2903.081 of the Revised Code are erected in that construction zone in accordance with the guidelines and design specifications established by the director of transportation under section 5501.27 of the Revised Code. The failure to erect signs of the type described in section 2903.081 of the Revised Code in a particular construction zone in accordance with those guidelines and design specifications does not limit or affect the application of division (A)(1), (A)(2)(a), (A)(3)(a), or (A)(4) of this section in that construction zone or the prosecution of any person who violates any of those divisions in that construction zone. | (b) ""Traffic-related homicide, manslaughter, or assault offense"" means a violation of section 2903.04 of the Revised Code in circumstances in which division (D) of that section applies, a violation of section 2903.06 or 2903.08 of the Revised Code, or a violation of section 2903.06, 2903.07, or 2903.08 of the Revised Code as they existed prior to March 23, 2000. | (f) ""Traffic-related murder, felonious assault, or attempted murder offense"" means a violation of section 2903.01 or 2903.02 of the Revised Code in circumstances in which the offender used a motor vehicle as the means to commit the violation, a violation of division (A)(2) of section 2903.11 of the Revised Code in circumstances in which the deadly weapon used in the commission of the violation is a motor vehicle, or an attempt to commit aggravated murder or murder in violation of section 2923.02 of the Revised Code in circumstances in which the offender used a motor vehicle as the means to attempt to commit the aggravated murder or murder. | (h) ""OVI offense"" means a violation of division (A) of section 4511.19 of the Revised Code, a violation of division (A) of section 1547.11 of the Revised Code, a violation of division (A)(3) of section 4561.15 of the Revised Code, or a substantially equivalent municipal ordinance.","R.C. 2929.142 | R.C. 2929.18 | R.C. 2929.14 | R.C. 2929.24 | R.C. 2929.01"
"2903.08","Aggravated vehicular assault; vehicular assault","needs_legal_interpretation","Division (B) expressly names aggravated vehicular assault for (A)(1); division (C) names vehicular assault for (A)(2) or (3). These groups have been extracted, but conditional grades and sentencing dependencies remain unresolved for publication.","Within the two expressly named groups, which conduct and grading conditions need distinct selectable variants, and which mandatory-term and license-suspension dependencies apply to each? Validate dependency and exception handling before activation; no name-transcription review is needed.","260d4f92320f029f51741f7eb6bfde2ed0c037cb4042fca6729f1c98c6210dab","https://codes.ohio.gov/ohio-revised-code/section-2903.08","2024-10-24","Section 2903.08 | Aggravated vehicular assault; vehicular assault.","(A) No person, while operating or participating in the operation of a motor vehicle, motorcycle, utility vehicle, mini-truck, snowmobile, locomotive, watercraft, or aircraft, shall cause serious physical harm to another person or another's unborn in any of the following ways:","(B)(1) Whoever violates division (A)(1) of this section is guilty of aggravated vehicular assault. Except as otherwise provided in this division, aggravated vehicular assault is a felony of the third degree. Aggravated vehicular assault is a felony of the second degree if any of the following apply:","(B)(1) Whoever violates division (A)(1) of this section is guilty of aggravated vehicular assault. Except as otherwise provided in this division, aggravated vehicular assault is a felony of the third degree. Aggravated vehicular assault is a felony of the second degree if any of the following apply:","(1)(a) As the proximate result of committing a violation of division (A) of section 4511.19 of the Revised Code or of a substantially equivalent municipal ordinance; | (b) As the proximate result of committing a violation of division (A) of section 1547.11 of the Revised Code or of a substantially equivalent municipal ordinance; | (c) As the proximate result of committing a violation of division (A)(3) of section 4561.15 of the Revised Code or of a substantially equivalent municipal ordinance. | (a) As the proximate result of committing, while operating or participating in the operation of a motor vehicle, utility vehicle, mini-truck, or motorcycle in a construction zone, a reckless operation offense, provided that this division applies only if the person to whom the serious physical harm is caused or to whose unborn the serious physical harm is caused is in the construction zone at the time of the offender's commission of the reckless operation offense in the construction zone and does not apply as described in division (E) of this section; | (3) As the proximate result of committing, while operating or participating in the operation of a motor vehicle, utility vehicle, mini-truck, or motorcycle in a construction zone, a speeding offense, provided that this division applies only if the person to whom the serious physical harm is caused or to whose unborn the serious physical harm is caused is in the construction zone at the time of the offender's commission of the speeding offense in the construction zone and does not apply as described in division (E) of this section. | (B)(1) Whoever violates division (A)(1) of this section is guilty of aggravated vehicular assault. Except as otherwise provided in this division, aggravated vehicular assault is a felony of the third degree. Aggravated vehicular assault is a felony of the second degree if any of the following apply: | (d) The offender previously has been convicted of or pleaded guilty to three or more prior violations of division (A) of section 4511.19 of the Revised Code or a substantially equivalent municipal ordinance within the previous ten years. | (e) The offender previously has been convicted of or pleaded guilty to three or more prior violations of division (A) of section 1547.11 of the Revised Code or of a substantially equivalent municipal ordinance within the previous ten years. | (f) The offender previously has been convicted of or pleaded guilty to three or more prior violations of division (A)(3) of section 4561.15 of the Revised Code or of a substantially equivalent municipal ordinance within the previous ten years. | (g) The offender previously has been convicted of or pleaded guilty to three or more prior violations of any combination of the offenses listed in division (B)(1)(d), (e), or (f) of this section. | (h) The offender previously has been convicted of or pleaded guilty to a second or subsequent felony violation of division (A) of section 4511.19 of the Revised Code. | (2) In addition to any other sanctions imposed pursuant to division (B)(1) of this section, except as otherwise provided in this division, the court shall impose upon the offender a class three suspension of the offender's driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege from the range specified in division (A)(3) of section 4510.02 of the Revised Code. If the offender previously has been convicted of or pleaded guilty to a violation of this section, any traffic-related homicide, manslaughter, or assault offense, or any traffic-related murder, felonious assault, or attempted murder offense, the court shall impose either a class two suspension of the offender's driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege from the range specified in division (A)(2) of that section or a class one suspension as specified in division (A)(1) of that section. | (C)(1) Whoever violates division (A)(2) or (3) of this section is guilty of vehicular assault and shall be punished as provided in divisions (C)(2) and (3) of this section. | (2) Except as otherwise provided in this division, vehicular assault committed in violation of division (A)(2) of this section is a felony of the fourth degree. Vehicular assault committed in violation of division (A)(2) of this section is a felony of the third degree if, at the time of the offense, the offender was driving under a suspension imposed under Chapter 4510. or any other provision of the Revised Code, if the offender previously has been convicted of or pleaded guilty to a violation of this section or any traffic-related homicide, manslaughter, or assault offense, or if, in the same course of conduct that resulted in the violation of division (A)(2) of this section, the offender also violated section 4549.02, 4549.021, or 4549.03 of the Revised Code. | In addition to any other sanctions imposed, the court shall impose upon the offender a class four suspension of the offender's driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege from the range specified in division (A)(4) of section 4510.02 of the Revised Code or, if the offender previously has been convicted of or pleaded guilty to a violation of this section, any traffic-related homicide, manslaughter, or assault offense, or any traffic-related murder, felonious assault, or attempted murder offense, a class three suspension of the offender's driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege from the range specified in division (A)(3) of that section. | (3) Except as otherwise provided in this division, vehicular assault committed in violation of division (A)(3) of this section is a misdemeanor of the first degree. Vehicular assault committed in violation of division (A)(3) of this section is a felony of the fourth degree if, at the time of the offense, the offender was driving under a suspension imposed under Chapter 4510. or any other provision of the Revised Code or if the offender previously has been convicted of or pleaded guilty to a violation of this section or any traffic-related homicide, manslaughter, or assault offense. | In addition to any other sanctions imposed, the court shall impose upon the offender a class four suspension of the offender's driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege from the range specified in division (A)(4) of section 4510.02 of the Revised Code or, if the offender previously has been convicted of or pleaded guilty to a violation of this section, any traffic-related homicide, manslaughter, or assault offense, or any traffic-related murder, felonious assault, or attempted murder offense, a class three suspension of the offender's driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege from the range specified in division (A)(3) of section 4510.02 of the Revised Code. | (D)(1) The court shall impose a mandatory prison term, as described in division (D)(4) of this section, on an offender who is convicted of or pleads guilty to a violation of division (A)(1) of this section. | (2) The court shall impose a mandatory prison term, as described in division (D)(4) of this section, on an offender who is convicted of or pleads guilty to a violation of division (A)(2) of this section or a felony violation of division (A)(3) of this section if either of the following applies: | (3) The court shall impose a mandatory jail term of at least seven days on an offender who is convicted of or pleads guilty to a misdemeanor violation of division (A)(3) of this section and may impose upon the offender a longer jail term as authorized pursuant to section 2929.24 of the Revised Code. | (4) A mandatory prison term required under division (D)(1) or (2) of this section shall be a definite term from the range of prison terms provided in division (A)(2)(b) of section 2929.14 of the Revised Code for a felony of the second degree, from division (A)(3)(a) of that section for a felony of the third degree, or from division (A)(4) of that section for a felony of the fourth degree, whichever is applicable, except that if the violation is a felony of the second degree committed on or after March 22, 2019, the court shall impose as the minimum prison term for the offense a mandatory prison term that is one of the minimum terms prescribed for a felony of the second degree in division (A)(2)(a) of section 2929.14 of the Revised Code. | (E) Divisions (A)(2)(a) and (3) of this section do not apply in a particular construction zone unless signs of the type described in section 2903.081 of the Revised Code are erected in that construction zone in accordance with the guidelines and design specifications established by the director of transportation under section 5501.27 of the Revised Code. The failure to erect signs of the type described in section 2903.081 of the Revised Code in a particular construction zone in accordance with those guidelines and design specifications does not limit or affect the application of division (A)(1) or (2)(b) of this section in that construction zone or the prosecution of any person who violates either of those divisions in that construction zone.","R.C. 2929.24 | R.C. 2929.14 | R.C. 2929.01"
"2903.09","Unlawful termination of another's pregnancy","supporting_provision","The section expressly begins as a definition applicable to listed sections; it contains no section-level guilt-and-grade clause.","","0dc125e0785220b45e409f3479968a69349d024634d81eb534f00044f0fcc8d9","https://codes.ohio.gov/ohio-revised-code/section-2903.09","2019-03-22","Section 2903.09 | Unlawful termination of another's pregnancy.","As used in sections 2903.01 to 2903.08, 2903.11 to 2903.14, 2903.21, and 2903.22 of the Revised Code:","","","(C) Notwithstanding divisions (A) and (B) of this section, in no case shall the definitions of the terms ""unlawful termination of another's pregnancy,"" ""another's unborn,"" and ""such other person's unborn"" that are set forth in division (A) of this section be applied or construed in any of the following manners: | (1) Except as otherwise provided in division (C)(1) of this section, in a manner so that the offense prohibits or is construed as prohibiting any pregnant woman or her physician from performing an abortion with the actual consent of the pregnant woman, with the consent of the pregnant woman implied by law in a medical emergency, or with the approval of one otherwise authorized by law to consent to medical treatment on behalf of the pregnant woman. An abortion that violates the conditions described in the immediately preceding sentence may be punished as a violation of section 2903.01, 2903.02, 2903.03, 2903.04, 2903.05, 2903.06, 2903.08, 2903.11, 2903.12, 2903.13, 2903.14, 2903.21, or 2903.22 of the Revised Code, as applicable. An abortion that does not violate the conditions described in the second immediately preceding sentence, but that does violate section 2919.12, division (B) of section 2919.13, or section 2919.15, 2919.151, 2919.17, or 2919.18 of the Revised Code, may be punished as a violation of section 2919.12, division (B) of section 2919.13, or section 2919.15, 2919.151, 2919.17, or 2919.18 of the Revised Code, as applicable.",""
"2903.10","Functionally impaired person, caretaker defined","supporting_provision","The section expressly defines terms for sections 2903.13 and 2903.16; it contains no section-level guilt-and-grade clause.","","6bc43e91a7ee073e39769251a269daa021e3984e3e81e683ef71c9e35080691d","https://codes.ohio.gov/ohio-revised-code/section-2903.10","2023-04-06","Section 2903.10 | Functionally impaired person, caretaker defined.","As used in sections 2903.13 and 2903.16 of the Revised Code:","","","",""
"2903.11","Felonious assault","offense_candidate","The official text contains an operative prohibition and an express felonious-assault guilt and degree clause.","","9c6ca00f4b327dd1ac586055e19212c1572fc312d99266fc0076829a827cf96b","https://codes.ohio.gov/ohio-revised-code/section-2903.11","2019-03-22","Section 2903.11 | Felonious assault.","(A) No person shall knowingly do either of the following:","(D)(1)(a) Whoever violates this section is guilty of felonious assault. Except as otherwise provided in this division or division (D)(1)(b) of this section, felonious assault is a felony of the second degree. If the victim of a violation of division (A) of this section is a peace officer or an investigator of the bureau of criminal identification and investigation, felonious assault is a felony of the first degree.","(D)(1)(a) Whoever violates this section is guilty of felonious assault. Except as otherwise provided in this division or division (D)(1)(b) of this section, felonious assault is a felony of the second degree. If the victim of a violation of division (A) of this section is a peace officer or an investigator of the bureau of criminal identification and investigation, felonious assault is a felony of the first degree.","(D)(1)(a) Whoever violates this section is guilty of felonious assault. Except as otherwise provided in this division or division (D)(1)(b) of this section, felonious assault is a felony of the second degree. If the victim of a violation of division (A) of this section is a peace officer or an investigator of the bureau of criminal identification and investigation, felonious assault is a felony of the first degree. | (b) Regardless of whether the felonious assault is a felony of the first or second degree under division (D)(1)(a) of this section, if the offender also is convicted of or pleads guilty to a specification as described in section 2941.1423 of the Revised Code that was included in the indictment, count in the indictment, or information charging the offense, except as otherwise provided in this division or unless a longer prison term is required under any other provision of law, the court shall sentence the offender to a mandatory prison term as provided in division (B)(8) of section 2929.14 of the Revised Code. If the victim of the offense is a peace officer or an investigator of the bureau of criminal identification and investigation, and if the victim suffered serious physical harm as a result of the commission of the offense, felonious assault is a felony of the first degree, and the court, pursuant to division (F) of section 2929.13 of the Revised Code, shall impose as a mandatory prison term one of the definite prison terms prescribed for a felony of the first degree in division (A)(1)(b) of section 2929.14 of the Revised Code, except that if the violation is committed on or after the effective date of this amendment, the court shall impose as the minimum prison term for the offense a mandatory prison term that is one of the minimum terms prescribed for a felony of the first degree in division (A)(1)(a) of section 2929.14 of the Revised Code. | (2) In addition to any other sanctions imposed pursuant to division (D)(1) of this section for felonious assault committed in violation of division (A)(1) or (2) of this section, if the offender also is convicted of or pleads guilty to a specification of the type described in section 2941.1425 of the Revised Code that was included in the indictment, count in the indictment, or information charging the offense, the court shall sentence the offender to a mandatory prison term under division (B)(9) of section 2929.14 of the Revised Code. | (3) If the victim of a felonious assault committed in violation of division (A) of this section is a child under ten years of age and if the offender also is convicted of or pleads guilty to a specification of the type described in section 2941.1426 of the Revised Code that was included in the indictment, count in the indictment, or information charging the offense, in addition to any other sanctions imposed pursuant to division (D)(1) of this section, the court shall sentence the offender to a mandatory prison term pursuant to division (B)(10) of section 2929.14 of the Revised Code. | (4) In addition to any other sanctions imposed pursuant to division (D)(1) of this section for felonious assault committed in violation of division (A)(2) of this section, if the deadly weapon used in the commission of the violation is a motor vehicle, the court shall impose upon the offender a class two suspension of the offender's driver's license, commercial driver's license, temporary instruction permit, probationary license, or nonresident operating privilege as specified in division (A)(2) of section 4510.02 of the Revised Code.","R.C. 2929.14 | R.C. 2929.13"
